track_id,track_name,artist_names,artist_ids,main_artist_name,main_artist_id,album_id,album_name,release_date,duration_ms,duration_min,popularity,explicit,track_url,added_at,is_local,artist_name_from_api,main_artist_genres,artist_popularity,artist_followers,title_script,song_title_language,genre_language_tags
7D3mXc4XWqF3WwraXL5iDa,Make Love,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,1jEFohZ79xLBF0UxwBdi2V,2009 BIGBANG LIVE CONCERT : BIG SHOW,2009-04-22,223800,3.73,30,False,https://open.spotify.com/track/7D3mXc4XWqF3WwraXL5iDa,2026-02-21T00:46:30Z,False,BIGBANG,['k-pop'],71,6530949,latin,Latin-script title,['Korean-associated']
3UGIZ8qcrMTwzLbx6Kttqt,Boyfriend,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,5cxMa6oLINJzmZ8lF7wWQN,Believe,2012-01-01,171333,2.85555,84,False,https://open.spotify.com/track/3UGIZ8qcrMTwzLbx6Kttqt,2026-02-22T22:07:58Z,False,Justin Bieber,[],96,91076968,latin,Latin-script title,['Western/Latin-title-associated']
61fUybL3XS40gcffnnNPoX,One Step Closer,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,2pKw6GERJVAD61449B1EEM,Hybrid Theory,2000-10-24,157333,2.6222166666666666,65,False,https://open.spotify.com/track/61fUybL3XS40gcffnnNPoX,2026-02-21T21:07:35Z,False,Linkin Park,"['nu metal', 'rap metal', 'rock', 'alternative metal']",89,34542635,latin,Latin-script title,['Western-associated']
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,6LqNN22kT3074XbTVUrhzX,Kesha,6LqNN22kT3074XbTVUrhzX,6fpLLJsDSSAlToEDW2jv4F,Animal (Expanded Edition),2010-01-01,199693,3.3282166666666666,87,False,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i,2026-02-21T21:11:02Z,False,Kesha,[],80,9770155,latin,Latin-script title,['Western/Latin-title-associated']
4Yf5bqU3NK4kNOypcrLYwU,Faint,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,4Gfnly5CzMJQqkUFfoHaP3,Meteora,2003-03-25,162106,2.701766666666667,87,False,https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU,2026-02-21T21:12:24Z,False,Linkin Park,"['nu metal', 'rap metal', 'rock', 'alternative metal']",89,34542635,latin,Latin-script title,['Western-associated']
7rFe0uEHuONOTavUfaxEcS,One Step At a Time,Jordin Sparks,2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks,2AQjGvtT0pFYfxR3neFcvz,3SR9XT8f7LEUDcMFZO4wPd,Jordin Sparks,2007-11-19,205160,3.4193333333333333,63,False,https://open.spotify.com/track/7rFe0uEHuONOTavUfaxEcS,2026-02-21T21:13:29Z,False,Jordin Sparks,[],63,2579847,latin,Latin-script title,['Western/Latin-title-associated']
7yD6uO0S7hES37x0jxY6hf,きみの て,Every Little Thing,7dZHl3ZmH21XpCwvcMlnml,Every Little Thing,7dZHl3ZmH21XpCwvcMlnml,6JpnUd3iaVbx0E2Klp5aqa,Every Best Single 2 〜middLe period〜,2015-09-23,288826,4.813766666666667,7,False,https://open.spotify.com/track/7yD6uO0S7hES37x0jxY6hf,2026-02-22T22:56:33Z,False,Every Little Thing,"['j-pop', 'kayōkyoku']",57,625220,japanese,Japanese-script title,['Japanese-associated']
1HqbC9kqK4jmJZE36Gwcbt,不正常,Jam Hsiao,4AJcTAMOLkRl3vf4syay8Q,Jam Hsiao,4AJcTAMOLkRl3vf4syay8Q,53wXwPmlDCyRwDscrxh6AY,以愛之名,2012-11-28,209813,3.4968833333333333,0,False,https://open.spotify.com/track/1HqbC9kqK4jmJZE36Gwcbt,2026-02-24T20:34:39Z,False,Jam Hsiao,"['mandopop', 'taiwanese pop', 'c-pop', 'malay pop', 'chinese rock']",48,584421,chinese,Chinese-script title,['Chinese-associated']
5BqKtuCFLfZyzfZOwlgW1f,Wind,Akeboshi,7whUoQAv5bVu2Cv4ZmgTyw,Akeboshi,7whUoQAv5bVu2Cv4ZmgTyw,6lTOmOSRAWvAwdv15KnMb8,Akeboshi,2005-06-22,220600,3.6766666666666667,71,False,https://open.spotify.com/track/5BqKtuCFLfZyzfZOwlgW1f,2026-02-27T17:51:28Z,False,Akeboshi,['anime'],52,47651,latin,Latin-script title,['Japanese-associated']
5qxBG29roWzqj2juppx49M,去年夏天,王大毛,11xeh02ekGRr6slWHPEIaC,王大毛,11xeh02ekGRr6slWHPEIaC,4Nq6l9fS7DqS4Ph1Q0WIlU,去年夏天,2019-04-29,245026,4.0837666666666665,46,False,https://open.spotify.com/track/5qxBG29roWzqj2juppx49M,2026-02-27T17:51:32Z,False,王大毛,"['c-pop', 'mandopop']",30,5852,chinese,Chinese-script title,['Chinese-associated']
